Turno,Máquina,OF,Cod.Operación,cod_producto,desc_producto,operación,inicio,Fin,Num OFs,Tiempo Plan.,Tiempo Plan.Proceso,Tiempo Real,Sub Área
NOCHE,DMG 160,4597160,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,15/05/2023 3:53:17,15/05/2023 3:54:33,1,4:45:00,4:45:00,0:01:16,Mecanizado
NOCHE,DMG 160,4597160,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,15/05/2023 3:54:41,15/05/2023 3:54:56,1,4:45:00,4:45:00,0:00:15,Mecanizado
NOCHE,DMG 160,4597160,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,15/05/2023 3:54:56,15/05/2023 3:58:30,1,4:45:00,4:45:00,0:03:34,Mecanizado
NOCHE,DMG 160,4597160,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,15/05/2023 3:58:30,15/05/2023 4:15:01,1,4:45:00,4:45:00,0:16:31,Mecanizado
NOCHE,DMG 160,4597160,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,15/05/2023 4:15:01,15/05/2023 4:15:04,1,4:45:00,4:45:00,0:00:03,Mecanizado
NOCHE,DMG 160,4597160,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,15/05/2023 4:15:04,15/05/2023 4:52:58,1,4:45:00,4:45:00,0:37:54,Mecanizado
NOCHE,DMG 160,4505953,2510,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",R1.1: MECANIZADO REPROCESO OP30 - OFICIN,15/05/2023 4:52:58,15/05/2023 5:08:10,1,4:00:00,4:00:00,0:15:12,Mecanizado
NOCHE,DMG 160,4505953,2510,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",R1.1: MECANIZADO REPROCESO OP30 - OFICIN,15/05/2023 5:08:10,15/05/2023 6:00:00,1,4:00:00,4:00:00,0:51:50,Mecanizado
MAÑANA,DMG 160,4505953,2510,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",R1.1: MECANIZADO REPROCESO OP30 - OFICIN,15/05/2023 6:00:00,15/05/2023 10:49:10,1,4:00:00,4:00:00,4:49:10,Mecanizado
MAÑANA,DMG 160,4597160,1730,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP55: ACABADO / FINISHING MACHI,15/05/2023 10:49:10,15/05/2023 14:00:00,1,2:30:00,2:30:00,3:10:50,Mecanizado
TARDE,DMG 160,4597160,1730,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP55: ACABADO / FINISHING MACHI,15/05/2023 14:00:00,15/05/2023 17:14:43,1,2:30:00,2:30:00,3:14:43,Mecanizado
NOCHE,DMG 160,4597160,1740,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP58: ACABADO / FINISHING MACHI,15/05/2023 22:40:30,15/05/2023 22:44:31,1,2:30:00,2:30:00,0:04:01,Mecanizado
NOCHE,DMG 160,4597160,1740,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP58: ACABADO / FINISHING MACHI,15/05/2023 22:44:31,16/05/2023 1:07:56,1,2:30:00,2:30:00,2:23:25,Mecanizado
NOCHE,DMG 160,4597160,1740,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP58: ACABADO / FINISHING MACHI,16/05/2023 1:07:56,16/05/2023 1:23:01,1,2:30:00,2:30:00,0:15:05,Mecanizado
NOCHE,DMG 160,4570025,2900,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP70-MECANIZADO CASQUILLOS / B,16/05/2023 1:55:05,16/05/2023 4:46:21,1,1:30:00,1:30:00,2:51:16,Mecanizado
NOCHE,DMG 160,4570025,2900,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP70-MECANIZADO CASQUILLOS / B,16/05/2023 4:46:21,16/05/2023 4:56:17,1,1:30:00,1:30:00,0:09:56,Mecanizado
NOCHE,DMG 160,4570025,2900,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP70-MECANIZADO CASQUILLOS / B,16/05/2023 4:56:17,16/05/2023 4:56:29,1,1:30:00,1:30:00,0:00:12,Mecanizado
NOCHE,DMG 160,4570026,2900,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP70-MECANIZADO CASQUILLOS / B,16/05/2023 5:15:37,16/05/2023 5:21:36,1,1:30:00,1:30:00,0:05:59,Mecanizado
NOCHE,DMG 160,4570026,2900,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP70-MECANIZADO CASQUILLOS / B,16/05/2023 5:21:36,16/05/2023 6:00:00,1,1:30:00,1:30:00,0:38:24,Mecanizado
MAÑANA,DMG 160,4570026,2900,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP70-MECANIZADO CASQUILLOS / B,16/05/2023 6:00:00,16/05/2023 7:43:05,1,1:30:00,1:30:00,1:43:05,Mecanizado
MAÑANA,DMG 160,4608522,400,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP10-DESBASTE / ROUGH MACHININ,16/05/2023 10:17:24,16/05/2023 14:00:00,1,5:00:00,5:00:00,3:42:36,Mecanizado
TARDE,DMG 160,4608522,400,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP10-DESBASTE / ROUGH MACHININ,16/05/2023 14:00:00,16/05/2023 22:00:00,1,5:00:00,5:00:00,8:00:00,Mecanizado
NOCHE,DMG 160,4608522,400,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP10-DESBASTE / ROUGH MACHININ,16/05/2023 22:00:00,16/05/2023 23:25:02,1,5:00:00,5:00:00,1:25:02,Mecanizado
NOCHE,DMG 160,4608522,400,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP10-DESBASTE / ROUGH MACHININ,16/05/2023 23:25:02,17/05/2023 5:34:45,1,5:00:00,5:00:00,6:09:43,Mecanizado
NOCHE,DMG 160,4608522,400,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP10-DESBASTE / ROUGH MACHININ,17/05/2023 5:34:45,17/05/2023 5:46:20,1,5:00:00,5:00:00,0:11:35,Mecanizado
NOCHE,DMG 160,4320540,1900,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP30,17/05/2023 5:46:20,17/05/2023 6:00:00,1,11:00:00,11:00:00,0:13:40,Mecanizado
MAÑANA,DMG 160,4320540,1900,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP30,17/05/2023 6:00:00,17/05/2023 9:16:37,1,11:00:00,11:00:00,3:16:37,Mecanizado
MAÑANA,DMG 160,4608522,400,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP10-DESBASTE / ROUGH MACHININ,17/05/2023 9:16:37,17/05/2023 9:16:44,1,5:00:00,5:00:00,0:00:07,Mecanizado
MAÑANA,DMG 160,4320540,1900,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP30,17/05/2023 9:16:44,17/05/2023 13:01:09,1,11:00:00,11:00:00,3:44:25,Mecanizado
MAÑANA,DMG 160,4608522,500,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP20-DESBASTE / ROUGH MACHININ,17/05/2023 13:01:09,17/05/2023 14:00:00,1,10:00:00,10:00:00,0:58:51,Mecanizado
TARDE,DMG 160,4608522,500,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP20-DESBASTE / ROUGH MACHININ,17/05/2023 14:00:00,17/05/2023 22:00:00,1,10:00:00,10:00:00,8:00:00,Mecanizado
NOCHE,DMG 160,4608522,500,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP20-DESBASTE / ROUGH MACHININ,17/05/2023 22:00:00,18/05/2023 4:55:26,1,10:00:00,10:00:00,6:55:26,Mecanizado
NOCHE,DMG 160,4608522,500,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP20-DESBASTE / ROUGH MACHININ,18/05/2023 4:55:26,18/05/2023 5:53:20,1,10:00:00,10:00:00,0:57:54,Mecanizado
NOCHE,DMG 160,4608522,500,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP20-DESBASTE / ROUGH MACHININ,18/05/2023 5:53:20,18/05/2023 6:00:00,1,10:00:00,10:00:00,0:06:40,Mecanizado
MAÑANA,DMG 160,4608522,500,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP20-DESBASTE / ROUGH MACHININ,18/05/2023 6:00:00,18/05/2023 12:14:01,1,10:00:00,10:00:00,6:14:01,Mecanizado
MAÑANA,DMG 160,4597160,1750,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP60: ACABADO / FINISHING MACH,18/05/2023 12:48:16,18/05/2023 14:00:00,1,1:00:00,1:00:00,1:11:44,Mecanizado
TARDE,DMG 160,4597160,1750,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP60: ACABADO / FINISHING MACH,18/05/2023 14:00:00,18/05/2023 14:15:57,1,1:00:00,1:00:00,0:15:57,Mecanizado
TARDE,DMG 160,4608522,600,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP30-DESBASTE / ROUGH MACHININ,18/05/2023 15:10:15,18/05/2023 17:03:41,1,0:45:00,0:45:00,1:53:26,Mecanizado
NOCHE,DMG 160,4608522,700,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,18/05/2023 23:35:28,18/05/2023 23:37:46,1,4:30:00,4:30:00,0:02:18,Mecanizado
NOCHE,DMG 160,4608522,700,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,18/05/2023 23:37:46,19/05/2023 6:00:00,1,4:30:00,4:30:00,6:22:14,Mecanizado
MAÑANA,DMG 160,4608522,700,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,19/05/2023 6:00:00,19/05/2023 8:07:21,1,4:30:00,4:30:00,2:07:21,Mecanizado
MAÑANA,DMG 160,4608522,700,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,19/05/2023 8:07:38,19/05/2023 8:31:49,1,4:30:00,4:30:00,0:24:11,Mecanizado
MAÑANA,DMG 160,4608522,700,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,19/05/2023 8:32:09,19/05/2023 8:48:13,1,4:30:00,4:30:00,0:16:04,Mecanizado
MAÑANA,DMG 160,4608522,700,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,19/05/2023 8:48:29,19/05/2023 8:48:47,1,4:30:00,4:30:00,0:00:18,Mecanizado
MAÑANA,DMG 160,4320540,2504,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",R1.2: MECANIZADO OP30 - REPARACION - AVI,19/05/2023 8:48:47,19/05/2023 8:49:16,1,4:00:00,4:00:00,0:00:29,Mecanizado
MAÑANA,DMG 160,4608522,700,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,19/05/2023 8:49:16,19/05/2023 8:54:32,1,4:30:00,4:30:00,0:05:16,Mecanizado
MAÑANA,DMG 160,4320540,1900,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP30,19/05/2023 8:54:32,19/05/2023 14:00:00,1,11:00:00,11:00:00,5:05:28,Mecanizado
TARDE,DMG 160,4320540,1900,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP30,19/05/2023 14:00:00,19/05/2023 16:03:23,1,11:00:00,11:00:00,2:03:23,Mecanizado
TARDE,DMG 160,4608522,800,LV17290,"RING, ASSY REAR MOUNT",*EC* DMG-OP45-ACABADO / FINISHING MACHIN,19/05/2023 16:03:23,19/05/2023 22:00:00,1,3:00:00,3:00:00,5:56:37,Mecanizado
NOCHE,DMG 160,4608522,800,LV17290,"RING, ASSY REAR MOUNT",*EC* DMG-OP45-ACABADO / FINISHING MACHIN,19/05/2023 22:00:52,20/05/2023 6:00:00,1,3:00:00,3:00:00,7:59:08,Mecanizado
FESTIVO,DMG 160,4608522,800,LV17290,"RING, ASSY REAR MOUNT",*EC* DMG-OP45-ACABADO / FINISHING MACHIN,20/05/2023 6:01:22,21/05/2023 6:00:00,1,3:00:00,3:00:00,23:58:38,Mecanizado
MAÑANA,DMG 160,4608522,800,LV17290,"RING, ASSY REAR MOUNT",*EC* DMG-OP45-ACABADO / FINISHING MACHIN,21/05/2023 6:01:34,21/05/2023 14:00:00,1,3:00:00,3:00:00,7:58:26,Mecanizado
NOCHE,DMG 160,4608522,900,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50-ACABADO / FINISHING MACHI,22/05/2023 5:10:51,22/05/2023 6:00:00,1,4:00:00,4:00:00,0:49:09,Mecanizado
MAÑANA,DMG 160,4608522,900,LV17290,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50-ACABADO / FINISHING MACHI,22/05/2023 6:00:00,22/05/2023 6:31:25,1,4:00:00,4:00:00,0:31:25,Mecanizado
MAÑANA,DMG 160,4608522,1000,LV17290,"RING, ASSY REAR MOUNT",*EC* DMG-OP55-ACABADO / FINISHING MACHIN,22/05/2023 6:31:25,22/05/2023 14:00:00,1,1:45:00,1:45:00,7:28:35,Mecanizado
TARDE,DMG 160,4608522,1000,LV17290,"RING, ASSY REAR MOUNT",*EC* DMG-OP55-ACABADO / FINISHING MACHIN,22/05/2023 14:00:00,22/05/2023 15:02:57,1,1:45:00,1:45:00,1:02:57,Mecanizado
TARDE,DMG 160,4597161,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,22/05/2023 16:34:38,22/05/2023 18:48:28,1,5:15:00,5:15:00,2:13:50,Mecanizado
TARDE,DMG 160,4597161,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,22/05/2023 18:48:28,22/05/2023 19:57:53,1,5:15:00,5:15:00,1:09:25,Mecanizado
TARDE,DMG 160,4597161,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,22/05/2023 19:57:53,22/05/2023 20:14:24,1,5:15:00,5:15:00,0:16:31,Mecanizado
TARDE,DMG 160,4597161,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,22/05/2023 20:14:24,22/05/2023 20:14:36,1,5:15:00,5:15:00,0:00:12,Mecanizado
TARDE,DMG 160,4597161,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,22/05/2023 20:14:36,22/05/2023 20:31:16,1,5:15:00,5:15:00,0:16:40,Mecanizado
TARDE,DMG 160,4597161,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,22/05/2023 20:31:16,22/05/2023 20:58:56,1,5:15:00,5:15:00,0:27:40,Mecanizado
TARDE,DMG 160,4597161,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,22/05/2023 20:58:56,22/05/2023 22:00:00,1,5:15:00,5:15:00,1:01:04,Mecanizado
NOCHE,DMG 160,4597161,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,22/05/2023 22:00:00,22/05/2023 22:39:58,1,5:15:00,5:15:00,0:39:58,Mecanizado
NOCHE,DMG 160,4597161,1650,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP45: ACABADO / FINISHING MACHI,22/05/2023 22:39:58,23/05/2023 3:26:36,1,3:45:00,3:45:00,4:46:38,Mecanizado
NOCHE,DMG 160,4619267,1400,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP10,23/05/2023 3:26:36,23/05/2023 6:00:00,1,4:30:00,4:30:00,2:33:24,Mecanizado
MAÑANA,DMG 160,4619267,1400,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP10,23/05/2023 6:00:00,23/05/2023 7:30:14,1,4:30:00,4:30:00,1:30:14,Mecanizado
MAÑANA,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 13:03:52,23/05/2023 14:00:00,1,4:45:00,4:45:00,0:56:08,Mecanizado
TARDE,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 14:00:00,23/05/2023 14:52:41,1,4:45:00,4:45:00,0:52:41,Mecanizado
TARDE,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 14:52:41,23/05/2023 17:49:27,1,4:45:00,4:45:00,2:56:46,Mecanizado
TARDE,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 17:49:27,23/05/2023 17:49:30,1,4:45:00,4:45:00,0:00:03,Mecanizado
TARDE,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 17:49:30,23/05/2023 17:49:47,1,4:45:00,4:45:00,0:00:17,Mecanizado
TARDE,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 17:49:58,23/05/2023 17:50:06,1,4:45:00,4:45:00,0:00:08,Mecanizado
TARDE,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 17:50:18,23/05/2023 17:50:27,1,4:45:00,4:45:00,0:00:09,Mecanizado
TARDE,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 17:50:27,23/05/2023 17:50:43,1,4:45:00,4:45:00,0:00:16,Mecanizado
TARDE,DMG 160,4597161,1700,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP50: ACABADO / FINISHING MACH,23/05/2023 17:50:43,23/05/2023 18:03:53,1,4:45:00,4:45:00,0:13:10,Mecanizado
TARDE,DMG 160,4597161,1730,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP55: ACABADO / FINISHING MACHI,23/05/2023 18:03:53,23/05/2023 18:07:14,1,2:30:00,2:30:00,0:03:21,Mecanizado
TARDE,DMG 160,4597161,1730,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP55: ACABADO / FINISHING MACHI,23/05/2023 18:07:14,23/05/2023 21:01:00,1,2:30:00,2:30:00,2:53:46,Mecanizado
TARDE,DMG 160,4597161,1730,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP55: ACABADO / FINISHING MACHI,23/05/2023 21:01:00,23/05/2023 21:52:26,1,2:30:00,2:30:00,0:51:26,Mecanizado
TARDE,DMG 160,4597161,1730,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP55: ACABADO / FINISHING MACHI,23/05/2023 21:52:26,23/05/2023 22:00:00,1,2:30:00,2:30:00,0:07:34,Mecanizado
NOCHE,DMG 160,4597161,1730,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP55: ACABADO / FINISHING MACHI,23/05/2023 22:00:00,24/05/2023 0:35:42,1,2:30:00,2:30:00,2:35:42,Mecanizado
NOCHE,DMG 160,4597161,1740,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP58: ACABADO / FINISHING MACHI,24/05/2023 0:35:42,24/05/2023 3:12:47,1,2:30:00,2:30:00,2:37:05,Mecanizado
NOCHE,DMG 160,4597161,1750,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP60: ACABADO / FINISHING MACH,24/05/2023 3:29:40,24/05/2023 4:06:31,1,1:00:00,1:00:00,0:36:51,Mecanizado
NOCHE,DMG 160,4619268,1400,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP10,24/05/2023 4:06:31,24/05/2023 6:00:00,1,4:30:00,4:30:00,1:53:29,Mecanizado
MAÑANA,DMG 160,4619268,1400,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP10,24/05/2023 6:00:00,24/05/2023 8:21:08,1,4:30:00,4:30:00,2:21:08,Mecanizado
MAÑANA,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,24/05/2023 12:04:11,24/05/2023 14:00:00,1,4:00:00,4:00:00,1:55:49,Mecanizado
TARDE,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,24/05/2023 14:00:00,24/05/2023 14:14:19,1,4:00:00,4:00:00,0:14:19,Mecanizado
TARDE,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,24/05/2023 14:14:19,24/05/2023 15:49:43,1,4:00:00,4:00:00,1:35:24,Mecanizado
TARDE,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,24/05/2023 15:49:43,24/05/2023 17:20:18,1,4:00:00,4:00:00,1:30:35,Mecanizado
TARDE,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,24/05/2023 17:20:18,24/05/2023 17:47:08,1,4:00:00,4:00:00,0:26:50,Mecanizado
TARDE,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,24/05/2023 17:47:08,24/05/2023 18:09:37,1,4:00:00,4:00:00,0:22:29,Mecanizado
TARDE,DMG 160,4599780,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,24/05/2023 18:09:37,24/05/2023 18:19:24,1,4:00:00,4:00:00,0:09:47,Mecanizado
